Participante,Otimismo
Tamara Klink,5
Maria Fernanda Lemos,3
Mercedes Bustamante,7
Marina Hirota,3
William Magnusson,0
Ed Hawkins,7
Izabella Teixeira,7
Brian Soden,3
Cacique Raoni Metuktire,5
Alok,8
Fatou Jeng,4
Helena Rizzo,6
Laurent Lebreton,3
Kongjian YU,4
Luiza Helena Trajano,9
François Morillion,7
Sonia Guajajara,8
Alyssa Findlay,3
Regina R. Rodrigues,4
Marcia Barboza,5
Carlos Afonso Nobre,7
William Laurance,3
Jose Marengo,9
Eduardo Brondizio,6
João Paulo Ferreira,7
Johan Rockström,4
Marcus Jorge Bottino,4
Susanna Hecht,4
Sergio Franklin,5
Paulo Artaxo,2
Rashid Sumaila,5
Daniel Jacob,5
Roopali Phadke,5