titulo,tema,data,numero_do_video,links_relacionados,id_inutil,id_video,status_materia,status_video,thumb,
O que cada país promete para a crise do clima? O que são NDCs?,Entenda o clima,02/08/2025,1,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/02/a-100-dias-da-cop30-metas-climaticas-atrasadas-aumentam-a-pressao-por-resultados-em-belem.ghtml,13808416,13820467,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820467.jpg,
O que é a COP e por que ela importa?,Entenda o clima,03/08/2025,2,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/03/o-que-e-a-cop-e-por-que-ela-importa.ghtml,13808425,13820477,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820477.jpg,
O que é o efeito estufa e o que ele tem a ver com a COP?,Entenda o clima,04/08/2025,3,https://g1.globo.com/meio-ambiente/noticia/2025/08/04/o-que-e-o-efeito-estufa-e-o-que-ela-tem-a-ver-com-a-cop.ghtml,13808433,13820496,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820496.jpg,
O que é o Acordo de Paris?,Entenda o clima,05/08/2025,4,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/05/o-que-e-o-acordo-de-paris-entenda-cop30.ghtml,13814623,13820499,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820499.jpg,
O que o café mais caro tem a ver com o clima?,"Clima, comida e consumo",06/08/2025,5,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/06/o-que-o-cafe-mais-caro-tem-a-ver-com-o-clima.ghtml,13814558,13820533,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820533.jpg,
O que são os 'pontos de não retorno' e por que eles colocam o planeta em risco?,A ciência do aquecimento global,07/08/2025,6,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/07/o-que-sao-os-pontos-de-nao-retorno-e-por-que-eles-colocam-o-planeta-em-risco.ghtml,13814563,13820507,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820507.jpg,
"Por que limitar o aquecimento a 1,5°C é a meta perseguida?",Entenda o clima,08/08/2025,7,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/08/por-que-limitar-o-aquecimento-a-15c-e-a-meta-perseguida.ghtml,13814574,13820534,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820534.jpg,
Como a roupa que você usa causa impacto no meio ambiente?,"Clima, comida e consumo",09/08/2025,8,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/09/como-a-roupa-que-voce-usa-causa-impacto-no-meio-ambiente.ghtml,13814587,13820540,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820540.jpg,
O desmatamento é o maior vilão climático do Brasil?,Biomas e o equilíbrio do planeta,10/08/2025,9,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/10/o-desmatamento-e-o-maior-vilao-climatico-do-brasil.ghtml,13827395,13827827,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13827827.jpg,
Quais doenças podem crescer com o aquecimento global?,O planeta em transformação,11/08/2025,10,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/11/quais-doencas-podem-crescer-com-o-aquecimento-global.ghtml,13827399,13827828,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13827828.jpg,
O que é o Protocolo de Kyoto?,Entenda o clima,12/08/2025,11,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/12/o-que-e-o-protocolo-de-kyoto.ghtml,13833786,13833786,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13833786.jpg,
Qual a diferença entre carbono zero e carbono neutro?,Entenda o clima,13/08/2025,12,https://g1.globo.com/meio-ambiente/noticia/2025/08/13/-diferenca-entro-e-carbono-neutro-e-carbono-zero-entenda.ghtml,13836219,13836222,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13836222.jpg,
A desertificação está avançando no Brasil? Qual a relação com o clima?,"Clima, comida e consumo",14/08/2025,13,"https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/14/entenda-desertificacao-avancando-no-brasil-relacao-com-o-clima.ghtml#:~:text=Cientistas%20afirmam%20que%20a%20crise,n%C3%A3o%20%C3%A9%20uma%20seca%20passageira",13836210,13836217,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13836217.jpg,
Boi com chip: como saber se a carne está livre de desmatamento?,"Clima, comida e consumo",15/08/2025,14,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/15/boi-com-chip-como-saber-se-a-carne-esta-livre-de-desmatamento.ghtml,13836242,13836232,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13836232.jpg,
O que o clima tem a ver com a conta de luz?,Transição energética e economia verde,16/08/2025,15,"https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/16/conta-de-luz-mais-cara-entenda-como-a-mudanca-do-clima-afeta-o-seu-bolso.ghtml#:~:text=Se%20voc%C3%AA%20percebeu%20que%20a,e%20o%20quanto%20ela%20custa.",13836238,13836239,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13836239.jpg,
O que são as mudanças climáticas?,Entenda o clima,17/08/2025,16,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/17/o-que-sao-as-mudancas-climaticas.ghtml,13836243,13836246,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13836246.jpg,
O que está acontecendo com o gelo da Antártida?,A ciência do aquecimento global,18/08/2025,17,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/18/o-que-esta-acontecendo-com-o-gelo-da-antartida.ghtml,13837569,13837572,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13837572.jpg,
Qual gás do efeito estufa é o maior vilão do clima?,A ciência do aquecimento global,19/08/2025,18,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/19/qual-gas-do-efeito-estufa-e-o-maior-vilao-do-clima.ghtml,13837587,13837593,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13837593.jpg,
Por que a temperatura do oceano importa tanto?,A ciência do aquecimento global,20/08/2025,19,"https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/20/por-que-a-temperatura-do-oceano-importa-tanto.ghtml#:~:text=Quando%20o%20oceano%20fica%20mais,temporais%20cada%20vez%20mais%20intensos.",13837601,13837610,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13837610.jpg,
O que é o Fundo Amazônia?,Biomas e o equilíbrio do planeta,21/08/2025,20,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/21/o-que-e-o-fundo-amazonia.ghtml,13837621,13837629,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13837629.jpg,
Onde vai ser a COP 30?,A COP30 e os seus desafios,22/08/2025,21,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/22/onde-vai-ser-a-cop30-veja-como-area-de-antigo-aeroporto-vai-receber-conferencia-em-belem.ghtml,13851805,13851808,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13851808.jpg,
Por que faz frio se o planeta está aquecendo?,Entenda o clima,23/08/2025,22,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/23/se-faz-frio-nao-existe-aquecimento-global-g1-explica.ghtml,13851811,13851820,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13851820.jpg,
Como os cientistas medem o aquecimento global?,A ciência do aquecimento global,24/08/2025,23,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/24/como-os-cientistas-medem-o-aquecimento-global.ghtml,13860295,13860303,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13860303.jpg,
Qual o documento mais relevante que a ciência tem sobre a mudança climática?,Entenda o clima,25/08/2025,24,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/25/qual-o-documento-mais-relevante-que-a-ciencia-tem-sobre-a-mudanca-climatica.ghtml,13863633,13863622,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13863622.jpg,
Por que Belém foi escolhida para sediar a COP?,Biomas e o equilíbrio do planeta,26/08/2025,25,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/26/por-que-belem-foi-escolhida-para-sediar-a-cop30.ghtml,13870944,13870918,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13870918.jpg,
Quem é o responsável por fazer a COP dar certo?,A COP30 e os seus desafios,27/08/2025,26,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/27/quem-e-o-responsavel-por-fazer-a-cop-dar-certo.ghtml,13871802,13871844,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13871844.jpg,
A carne vai ficar mais cara com o aquecimento global?,"Clima, comida e consumo",28/08/2025,27,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/28/carne-custo-aquecimento-global-entenda.ghtml,13875004,13874986,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13874986.jpg,
Por que proteger territórios indígenas é importante para o equilíbrio do clima?,Biomas e o equilíbrio do planeta,29/08/2025,28,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/29/por-que-proteger-territorios-indigenas-e-importante-para-o-equilibrio-do-clima.ghtml,13875809,13875812,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13875812.jpg,
O que é o mercado de carbono e como ele funciona?,Transição energética e economia verde,30/08/2025,29,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/30/o-que-e-e-como-funciona-o-mercado-de-carbono.ghtml,13879780,13879772,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13879772.jpg,
Quais são os principais eventos paralelos da COP?,A COP30 e os seus desafios,31/08/2025,30,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/31/quais-sao-os-principais-eventos-paralelos-da-cop.ghtml,13881279,13881285,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13881285.jpg,
O aumento da temperatura afeta a produção de leite e ovos?,"Clima, comida e consumo",01/09/2025,31,"https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/01/o-aumento-da-temperatura-afeta-a-producao-de-leite-e-ovos.ghtml#:~:text=Segundo%20a%20especialista%2C%20quando%20esses,a%20qualidade%20deles%20tamb%C3%A9m%20cai.",13883612,13883603,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13883603.jpg,
Por que a Terra está batendo tantos recordes de calor?,A ciência do aquecimento global,02/09/2025,32,https://g1.globo.com/meio-ambiente/noticia/2025/09/02/por-que-o-planeta-esta-cada-vez-mais-quente-g1-explica-o-que-leva-o-mundo-a-recordes-de-calor.ghtml,13881212,13890914,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13890914.jpg,
Quem são os povos tradicionais do Brasil?,Biomas e o equilíbrio do planeta,03/09/2025,33,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/03/quem-sao-os-povos-tradicionais-do-brasil.ghtml,13891287,13891271,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13891271.jpg,
Dá para tirar o plástico dos oceanos?,O planeta em transformação,04/09/2025,34,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/04/sabia-que-o-seu-copinho-descartavel-pode-ir-parar-no-oceano-veja-quanto-tempo-leva-para-cada-item-se-decompor.ghtml,13891831,13891863,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13891863.jpg,
Por que é importante uma COP na Amazônia?,A COP30 e os seus desafios,05/09/2025,35,"https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/05/por-que-e-importante-uma-cop-na-amazonia.ghtml#:~:text=%2D%2D%3A%2D%2D-,Por%20que%20%C3%A9%20importante%20uma%20COP%20na%20Amaz%C3%B4nia%3F,virada%20na%20pol%C3%ADtica%20ambiental%20mundial.",13891531,13891534,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13891534.jpg,
Qual é o papel da China na crise climática?,Entenda o clima,06/09/2025,36,"https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/06/qual-e-o-papel-da-china-na-crise-climatica.ghtml#:~:text=dispositivo%20Tela%20cheia-,Qual%20%C3%A9%20o%20papel%20da%20China%20na%20crise%20clim%C3%A1tica%3F,de%2030%25%20das%20emiss%C3%B5es%20globais.&text=%C3%89%20a%20primeira%20vez%20que,o%20CO%E2%82%82%20liberado%20no%20planeta.",13895073,13895106,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13895106.jpg,
Como projeto no Pará quer recuperar floresta desmatada vendendo crédito de carbono?,Biomas e o equilíbrio do planeta,07/09/2025,37,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/07/como-projeto-no-para-quer-recuperar-floresta-desmatada-vendendo-credito-de-carbono.ghtml,13904846,13904866,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13904866.jpg,
O que é Justiça Climática?,A COP30 e os seus desafios,08/09/2025,38,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/08/o-que-e-justica-climatica.ghtml,13901149,13901128,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13901128.jpg,
Como a mudança climática afeta o preço da comida?,"Clima, comida e consumo",09/09/2025,39,https://admin.backstage.globoi.com/apps/multi-content/g1/multi-content/edit/c0544ea5-3ef4-40d1-a3dc-ae4d00b9985f/,13898339,13898344,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13898344.jpg,
Quais são os países que mais emitem gases do efeito estufa?,Entenda o clima,10/09/2025,40,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/10/por-que-o-brasil-aparece-entre-os-maiores-emissores-do-planeta-veja-o-ranking.ghtml,13897933,13897937,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13897937.jpg,
Qual é o papel dos EUA na crise climática?,Entenda o clima,11/09/2025,41,"https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/11/qual-e-o-papel-dos-eua-na-crise-climatica.ghtml#:~:text=Carregando-,Qual%20%C3%A9%20o%20papel%20dos%20EUA%20na%20crise%20clim%C3%A1tica%3F,do%20que%20a%20m%C3%A9dia%20global.&text=e%20de%20gra%C3%A7a-,Hoje%2C%20cada%20cidad%C3%A3o%20dos%20Estados%20Unidos%20responde%20por%20cerca%20de,emiss%C3%B5es%20se%20mant%C3%A9m%20h%C3%A1%20d%C3%A9cadas.",13904947,13904954,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13904954.jpg,
Como a floresta produz chuva?,Biomas e o equilíbrio do planeta,12/09/2025,42,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/12/como-a-floresta-produz-chuva.ghtml,13910680,13910658,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13910658.jpg,
Qual a relação entre o uso de água e a inteligência artificial?,O planeta em transformação,13/09/2025,43,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/13/fazer-perguntas-para-ia-pode-consumir-agua-suficiente-para-abastecer-cidades-brasileiras-veja-lista.ghtml,13918253,13918269,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13918269.jpg,
O que é o branqueamento de corais — e por que ele é tão grave?,O planeta em transformação,14/09/2025,44,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/15/o-que-e-o-branqueamento-de-corais-e-por-que-ele-e-tao-grave.ghtml,13921072,13921078,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13921078.jpg,
O que é greenwashing?,O planeta em transformação,15/09/2025,45,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/15/o-que-e-greenwashing.ghtml,13921909,13921918,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13921918.jpg,
Por que a poluição do ar é um problema climático e de saúde ao mesmo tempo?,O planeta em transformação,16/09/2025,46,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/16/poluicao-do-ar-causa-doencas-e-ate-cancer-de-pulmao-mesmo-em-nao-fumantes-entenda.ghtml,13921809,13921821,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13921821.jpg,
O que é o “novo normal” do clima?,Entenda o clima,17/09/2025,47,"https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/17/o-que-e-o-novo-normal-do-clima.ghtml#:~:text=Secas%20cada%20vez%20mais%20longas,%E2%80%9Cnovo%20normal%E2%80%9D%20do%20clima.",13931387,13931389,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13931389.jpg,
Como a mudança climática está fazendo um país desaparecer?,A ciência do aquecimento global,18/09/2025,48,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/18/como-a-mudanca-climatica-esta-fazendo-um-pais-desaparecer.ghtml,13934841,13934844,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13934844.jpg,
O que é economia circular e quem já está lucrando com ela no Brasil?,Transição energética e economia verde,19/09/2025,49,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/19/o-que-e-economia-circular-e-quem-ja-esta-lucrando-com-ela-no-brasil.ghtml,13936440,13936420,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13936420.jpg,
Por que o mar está avançando sobre as praias?,O planeta em transformação,20/09/2025,50,"https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/20/brasil-perdeu-15percent-da-faixa-de-areia-em-30-anos-avanco-do-mar-ameaca-praias-e-casas.ghtml#:~:text=O%20principal%20motivo%3F,e%20pelas%20mudan%C3%A7as%20no%20clima.",13935359,13935365,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13935365.jpg,
Combustíveis fósseis: quais os argumentos para abandonar o uso?,Transição energética e economia verde,21/09/2025,51,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/21/o-mundo-pode-abandonar-os-combustiveis-fosseis-entenda-os-argumentos.ghtml,13938736,13938743,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13938743.jpg,
Por que a falta de saneamento básico é também um problema climático?,O planeta em transformação,22/09/2025,52,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/22/por-que-a-falta-de-saneamento-basico-e-tambem-um-problema-climatico.ghtml,13941264,13941245,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13941245.jpg,
O que é mitigação das mudanças climáticas e o que você pode fazer?,Entenda o clima,23/09/2025,53,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/23/o-que-e-mitigacao-das-mudancas-climaticas-e-o-que-voce-pode-fazer.ghtml,13941588,13941589,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13941589.jpg,
Por que a polinização está em risco e o que isso significa para a nossa comida?,"Clima, comida e consumo",24/09/2025,54,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/09/24/por-que-a-polinizacao-esta-em-risco-e-o-que-isso-significa-para-a-nossa-comida.ghtml,13954005,13954045,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13954045.jpg,
